"table_name","total_rows","column_name","null_count"
"dataset_sl_cost",2571,"date",0
"dataset_sl_cost",2571,"country",0
"dataset_sl_cost",2571,"network",0
"dataset_sl_cost",2571,"mapped_platform",0
"dataset_sl_cost",2571,"cost",0
"dataset_sl_econ_spend_hc",1647160,"uid",0
"dataset_sl_econ_spend_hc",1647160,"platform",0
"dataset_sl_econ_spend_hc",1647160,"event_timestamp",0
"dataset_sl_econ_spend_hc",1647160,"dt",0
"dataset_sl_econ_spend_hc",1647160,"s_index",0
"dataset_sl_econ_spend_hc",1647160,"s_time",0
"dataset_sl_econ_spend_hc",1647160,"gem_amount",0
"dataset_sl_econ_spend_hc",1647160,"gold_amount",0
"dataset_sl_econ_spend_hc",1647160,"stone_amount",0
"dataset_sl_econ_spend_hc",1647160,"chalice_amount",0
"dataset_sl_econ_spend_hc",1647160,"type",0
"dataset_sl_econ_spend_hc",1647160,"level",0
"dataset_sl_econ_spend_hc",1647160,"amount",0
"dataset_sl_econ_spend_hc",1647160,"app_version",0
"dataset_sl_endgame",8279229,"uid",0
"dataset_sl_endgame",8279229,"platform",0
"dataset_sl_endgame",8279229,"event_timestamp",0
"dataset_sl_endgame",8279229,"dt",0
"dataset_sl_endgame",8279229,"s_index",0
"dataset_sl_endgame",8279229,"s_time",0
"dataset_sl_endgame",8279229,"gem_amount",0
"dataset_sl_endgame",8279229,"gold_amount",0
"dataset_sl_endgame",8279229,"stone_amount",0
"dataset_sl_endgame",8279229,"chalice_amount",0
"dataset_sl_endgame",8279229,"type",0
"dataset_sl_endgame",8279229,"level",0
"dataset_sl_endgame",8279229,"level_index",0
"dataset_sl_endgame",8279229,"duration",0
"dataset_sl_endgame",8279229,"score",0
"dataset_sl_endgame",8279229,"merge_count",0
"dataset_sl_endgame",8279229,"moves_count",0
"dataset_sl_endgame",8279229,"coin_earned",0
"dataset_sl_endgame",8279229,"gem_earned",0
"dataset_sl_endgame",8279229,"app_version",0
"dataset_sl_install",230116,"uid",0
"dataset_sl_install",230116,"platform",0
"dataset_sl_install",230116,"event_timestamp",0
"dataset_sl_install",230116,"dt",0
"dataset_sl_install",230116,"country",0
"dataset_sl_install",230116,"network",0
"dataset_sl_install",230116,"app_version",0
"dataset_sl_login",4158796,"uid",0
"dataset_sl_login",4158796,"platform",0
"dataset_sl_login",4158796,"event_timestamp",0
"dataset_sl_login",4158796,"dt",0
"dataset_sl_login",4158796,"s_index",0
"dataset_sl_login",4158796,"app_version",0
"dataset_sl_revenue",72510,"uid",0
"dataset_sl_revenue",72510,"platform",0
"dataset_sl_revenue",72510,"event_timestamp",0
"dataset_sl_revenue",72510,"dt",0
"dataset_sl_revenue",72510,"s_index",0
"dataset_sl_revenue",72510,"s_time",0
"dataset_sl_revenue",72510,"usd_revenue",0
"dataset_sl_revenue",72510,"app_version",0
"dataset_sl_startgame",10351937,"uid",0
"dataset_sl_startgame",10351937,"platform",0
"dataset_sl_startgame",10351937,"event_timestamp",0
"dataset_sl_startgame",10351937,"dt",0
"dataset_sl_startgame",10351937,"s_index",0
"dataset_sl_startgame",10351937,"s_time",0
"dataset_sl_startgame",10351937,"gem_amount",0
"dataset_sl_startgame",10351937,"gold_amount",10351937
"dataset_sl_startgame",10351937,"stone_amount",10351937
"dataset_sl_startgame",10351937,"chalice_amount",0
"dataset_sl_startgame",10351937,"type",0
"dataset_sl_startgame",10351937,"level",0
"dataset_sl_startgame",10351937,"level_index",0
"dataset_sl_startgame",10351937,"app_version",0
