"variant","platform","users","pct_of_total","min_install_date","max_install_date","min_test_entry_date","max_test_entry_date"
"Control_1","android",225419,11.66,"2017-07-29","2024-12-15","2023-10-18","2023-12-06"
"Control_1","ios",160421,8.3,"2017-03-03","2024-10-25","2023-10-18","2023-12-06"
"Control_2","android",225203,11.65,"2017-07-23","2024-07-24","2023-10-18","2023-12-06"
"Control_2","ios",160407,8.3,"2017-03-03","2024-10-18","2023-10-18","2023-12-06"
"Control_3","android",226449,11.72,"2017-07-24","2024-10-13","2023-10-18","2023-12-06"
"Control_3","ios",160958,8.33,"2017-03-08","2024-11-06","2023-10-18","2023-12-06"
"LessExpensive","android",225994,11.69,"2017-07-24","2024-08-28","2023-10-18","2023-12-06"
"LessExpensive","ios",160668,8.31,"2017-03-05","2024-11-29","2023-10-18","2023-12-06"
"MoreExpensive","android",226324,11.71,"2017-07-26","2024-07-29","2023-10-18","2023-12-06"
"MoreExpensive","ios",161032,8.33,"2017-03-09","2024-10-30","2023-10-18","2023-12-06"
